package_name,download_week,download_count
anthropic,2023-12-31,60831
anthropic,2024-01-07,83213
anthropic,2024-01-14,89924
anthropic,2024-01-21,104014
anthropic,2024-01-28,116170
anthropic,2024-02-04,121966
anthropic,2024-02-11,128287
anthropic,2024-02-18,130404
anthropic,2024-02-25,147345
anthropic,2024-03-03,173675
anthropic,2024-03-10,196500
anthropic,2024-03-17,218201
anthropic,2024-03-24,240919
anthropic,2024-03-31,272746
anthropic,2024-04-07,285643
anthropic,2024-04-14,333184
anthropic,2024-04-21,353792
anthropic,2024-04-28,380234
anthropic,2024-05-05,394241
anthropic,2024-05-12,436077
anthropic,2024-05-19,423475
anthropic,2024-05-26,451301
anthropic,2024-06-02,446981
anthropic,2024-06-09,493005
anthropic,2024-06-16,581627
anthropic,2024-06-23,525821
anthropic,2024-06-30,493225
anthropic,2024-07-07,525370
anthropic,2024-07-14,585463
anthropic,2024-07-21,573819
anthropic,2024-07-28,613271
anthropic,2024-08-04,616460
anthropic,2024-08-11,636747
anthropic,2024-08-18,681605
anthropic,2024-08-25,685199
anthropic,2024-09-01,685846
anthropic,2024-09-08,758150
anthropic,2024-09-15,802466
anthropic,2024-09-22,843434
anthropic,2024-09-29,819352
anthropic,2024-10-06,1001196
anthropic,2024-10-13,910607
anthropic,2024-10-20,928278
anthropic,2024-10-27,923874
anthropic,2024-11-03,1052897
anthropic,2024-11-10,1143874
anthropic,2024-11-17,1137976
anthropic,2024-11-24,971491
anthropic,2024-12-01,1237181
anthropic,2024-12-08,1200716
anthropic,2024-12-15,1187537
anthropic,2024-12-22,666373
anthropic,2024-12-29,809108
anthropic,2025-01-05,1491275
anthropic,2025-01-12,1473542
anthropic,2025-01-19,1505490
anthropic,2025-01-26,2058801
anthropic,2025-02-02,2164684
anthropic,2025-02-09,2195349
anthropic,2025-02-16,2190223
anthropic,2025-02-23,2294063
anthropic,2025-03-02,2772724
anthropic,2025-03-09,2537729
anthropic,2025-03-16,2602194
anthropic,2025-03-23,2546922
anthropic,2025-03-30,2410659
anthropic,2025-04-06,2527547
anthropic,2025-04-13,2433944
anthropic,2025-04-20,2519720
anthropic,2025-04-27,2558898
anthropic,2025-05-04,2560944
anthropic,2025-05-11,2663285
anthropic,2025-05-18,2665212
anthropic,2025-05-25,2727503
anthropic,2025-06-01,2894148
anthropic,2025-06-08,3030429
anthropic,2025-06-15,3196377
anthropic,2025-06-22,3669579
anthropic,2025-06-29,3608748
anthropic,2025-07-06,3680057
anthropic,2025-07-13,4053363
anthropic,2025-07-20,4504484
anthropic,2025-07-27,5296445
anthropic,2025-08-03,6057072
anthropic,2025-08-10,6723813
anthropic,2025-08-17,6683649
anthropic,2025-08-24,7241744
anthropic,2025-08-31,6630220
anthropic,2025-09-07,6211573
anthropic,2025-09-14,5899103
anthropic,2025-09-21,6062198
anthropic,2025-09-28,6949531
anthropic,2025-10-05,6227459
anthropic,2025-10-12,6552851
anthropic,2025-10-19,6809399
anthropic,2025-10-26,7779717
anthropic,2025-11-02,7195563
anthropic,2025-11-09,7270144
anthropic,2025-11-16,7903177
anthropic,2025-11-23,7237424
anthropic,2025-11-30,8776196
anthropic,2025-12-07,8570218
anthropic,2025-12-14,8504760
