date,ChatGPT API,LLM pricing,API cost,Hugging Face,DeepSeek,Ollama,AI agent
2023-12-31,3,0,1,6,0,0,0
2024-01-07,4,0,1,6,0,0,0
2024-01-14,4,0,1,5,0,0,0
2024-01-21,4,0,1,7,0,0,0
2024-01-28,4,0,1,6,0,0,0
2024-02-04,4,0,1,6,0,0,0
2024-02-11,4,0,1,6,0,0,0
2024-02-18,4,0,1,6,0,0,0
2024-02-25,4,0,1,9,0,0,0
2024-03-03,4,0,1,7,0,0,0
2024-03-10,4,0,1,7,0,0,0
2024-03-17,4,0,1,8,0,0,0
2024-03-24,4,0,1,7,0,0,0
2024-03-31,4,0,1,6,0,0,0
2024-04-07,4,0,1,6,0,0,0
2024-04-14,4,0,1,7,0,0,0
2024-04-21,4,0,1,7,0,1,0
2024-04-28,3,0,1,7,0,0,0
2024-05-05,3,0,1,7,0,0,0
2024-05-12,5,0,1,7,0,0,0
2024-05-19,5,0,1,8,0,0,0
2024-05-26,4,0,1,7,0,0,0
2024-06-02,5,0,1,7,0,0,0
2024-06-09,4,0,1,6,0,0,0
2024-06-16,4,0,1,6,0,0,0
2024-06-23,4,0,1,6,0,0,0
2024-06-30,4,0,1,6,0,0,0
2024-07-07,4,0,1,6,0,0,0
2024-07-14,4,0,1,7,0,0,0
2024-07-21,4,0,1,6,0,0,0
2024-07-28,3,0,1,6,0,0,0
2024-08-04,3,0,1,6,0,0,0
2024-08-11,3,0,1,6,0,0,0
2024-08-18,3,0,1,7,0,0,0
2024-08-25,3,0,1,6,0,0,0
2024-09-01,4,0,1,8,0,0,0
2024-09-08,4,0,1,13,0,0,0
2024-09-15,4,0,1,17,0,0,0
2024-09-22,4,0,1,14,0,0,0
2024-09-29,4,0,1,12,0,0,0
2024-10-06,4,0,1,14,0,0,0
2024-10-13,4,0,1,13,0,0,0
2024-10-20,4,0,1,13,0,0,0
2024-10-27,4,0,1,10,0,0,0
2024-11-03,4,0,1,12,0,0,0
2024-11-10,5,0,1,10,0,1,0
2024-11-17,4,0,1,9,0,1,0
2024-11-24,4,0,1,10,0,0,0
2024-12-01,4,0,1,10,0,1,0
2024-12-08,5,0,1,10,0,1,0
2024-12-15,4,0,1,10,0,1,0
2024-12-22,4,0,1,10,1,1,0
2024-12-29,3,0,1,8,2,0,0
2025-01-05,4,0,1,9,2,1,1
2025-01-12,4,0,1,10,2,1,1
2025-01-19,5,0,1,10,6,1,1
2025-01-26,6,0,2,15,100,3,1
2025-02-02,6,0,2,12,43,2,1
2025-02-09,5,0,1,16,27,2,1
2025-02-16,5,0,2,14,22,1,1
2025-02-23,5,0,1,12,19,1,1
2025-03-02,5,0,2,13,17,1,1
2025-03-09,5,0,2,12,16,1,1
2025-03-16,5,0,1,12,17,1,1
2025-03-23,5,0,1,11,18,1,1
2025-03-30,5,0,2,11,17,1,1
2025-04-06,5,0,1,11,17,1,1
2025-04-13,5,0,1,9,17,1,1
2025-04-20,5,0,1,9,17,1,1
2025-04-27,5,0,2,9,15,1,1
2025-05-04,4,0,1,10,16,1,1
2025-05-11,5,0,1,11,15,1,1
2025-05-18,5,0,2,9,16,1,1
2025-05-25,5,0,2,10,15,1,1
2025-06-01,5,0,3,10,14,1,1
2025-06-08,6,1,5,11,15,1,1
2025-06-15,5,1,4,10,13,1,1
2025-06-22,5,1,4,10,12,1,1
2025-06-29,5,1,4,10,11,1,1
2025-07-06,5,1,3,10,10,1,1
2025-07-13,7,1,4,10,10,1,1
2025-07-20,6,1,6,11,10,1,1
2025-07-27,8,1,10,13,10,1,2
2025-08-03,30,3,49,25,10,3,3
2025-08-10,42,5,100,49,10,3,4
2025-08-17,26,4,75,39,11,2,3
2025-08-24,19,3,61,30,11,2,2
2025-08-31,18,2,57,31,11,2,3
2025-09-07,17,2,50,31,11,2,2
2025-09-14,14,2,43,32,11,1,2
2025-09-21,15,2,41,30,11,2,3
2025-09-28,14,2,39,30,10,1,3
2025-10-05,15,2,34,28,11,1,3
2025-10-12,15,2,33,29,11,2,3
2025-10-19,16,2,32,29,11,1,2
2025-10-26,13,2,25,24,11,1,2
2025-11-02,13,2,28,23,11,1,2
2025-11-09,12,2,32,24,11,1,3
2025-11-16,11,2,34,24,11,1,3
2025-11-23,15,2,48,28,10,1,2
2025-11-30,15,3,56,27,11,1,2
2025-12-07,14,2,42,20,10,1,2
2025-12-14,16,3,44,26,9,2,3
2025-12-21,12,3,35,20,7,1,2
2025-12-28,10,2,35,19,7,1,2
2026-01-04,11,3,36,20,8,1,3
2026-01-11,13,3,40,22,8,2,3
2026-01-18,14,3,47,25,8,2,3
2026-01-25,15,3,47,27,8,2,3
