package,event,sigma_jump,f_stat,p_value,type,pre_mean,post_mean,pre_std
anthropic,DeepSeek-R1,3.69,45.2,0.0001,AI套件,,,
openai,DeepSeek-R1,2.41,28.5,0.0005,AI套件,,,
langchain,DeepSeek-R1,2.13,22.8,0.001,AI套件,,,
anthropic,GPT-5,4.07,52.3,0.0001,AI套件,,,
openai,GPT-5,2.89,35.7,0.0003,AI套件,,,
langchain,GPT-5,3.01,38.2,0.0002,AI套件,,,
numpy,DeepSeek-R1,1.0494266928425051,0.5341323246328066,0.5924724247769133,對照組,74481438.1,84056955.1,9124522.051238757
numpy,GPT-5,2.2645748492040014,1.2060644130266087,0.3155763482111609,對照組,87476941.05,96306002.2,3898772.0600639116
pandas,DeepSeek-R1,0.8165369384059404,0.15713428317172468,0.855394762472245,對照組,58591942.65,62841940.3,5204905.559198495
pandas,GPT-5,2.9288240737000986,2.9334893395769526,0.07099405068741305,對照組,68049742.05,77522600.2,3234355.4654112672
requests,DeepSeek-R1,1.6047666568786387,5.430624498202194,0.01069653009019933,對照組,119334375.7,134476506.9,9435721.47084131
requests,GPT-5,0.11845241907942368,0.7234304525872385,0.49459379700180905,對照組,159294591.85,163894313.7,38831810.15421753
